steering angle	CTE
-0.147699	0.5346
-0.163627	0.5855
-0.115307	0.6072
-0.104219	0.6218
-0.0735372	0.62
-0.109369	0.6378
-0.193275	0.7073
-0.300234	0.8188
-0.218239	0.8811
-0.23171	0.9479
-0.165332	0.9746
-0.144087	0.988
-0.104468	0.9802
-0.0683393	0.9457
-0.0475573	0.9089
0.0219139	0.8364
-0.000418005	0.7781
0.0897413	0.6811
0.0364633	0.6113
0.0986049	0.5045
0.0618995	0.4378
-0.0331306	0.4249
-0.216141	0.5104
-0.181524	0.5718
-0.205051	0.6534
-0.165139	0.6988
-0.181685	0.751
-0.150021	0.7839
-0.116867	0.7945
-0.0955895	0.7932
-0.0754793	0.7815
-0.0552621	0.7588
-0.137499	0.7822
-0.22092	0.8565
-0.18692	0.8992
-0.180942	0.9433
-0.150096	0.9626
-0.116052	0.9616
-0.0828671	0.9404
-0.0655749	0.9139
-0.00568428	0.8582
-0.0187002	0.8115
0.0507503	0.7313
0.0201933	0.6721
0.0875372	0.5792
0.0386426	0.5155
0.0461929	0.4523
0.115174	0.3587
0.0479774	0.2981
-0.0693914	0.3124
-0.274573	0.4351
-0.434164	0.6332
-0.313323	0.7591
-0.419333	0.923
-0.293145	1.0139
-0.296734	1.1164
-0.2083	1.1621
-0.211274	1.1974
-0.149457	1.1996
-0.0914137	1.1725
-0.0691286	1.1356
-0.0539467	1.087
-0.0766768	1.0592
-0.136692	1.0625
-0.108169	1.0505
-0.0883287	1.0304
-0.0283215	0.9826
-0.0431936	0.9402
0.036311	0.8645
0.00434673	0.8071
0.0810823	0.715
0.0340705	0.655
-0.196881	0.7109
-0.284937	0.8042
-0.379015	0.935
-0.270673	1.01
-0.244861	1.0702
-0.264837	1.1338
-0.187348	1.1587
-0.159858	1.1677
-0.118193	1.1557
-0.0537366	1.1135
-0.0480968	1.0705
0.0340108	0.9883
0.00557186	0.9233
0.10424	0.8164
0.0517752	0.74
0.136984	0.6242
0.159318	0.5087
0.0168258	0.4628
-0.113439	0.4882
-0.306443	0.608
-0.238098	0.6881
-0.306411	0.7934
-0.216379	0.8514
-0.216507	0.9154
-0.171176	0.9428
-0.155596	0.9613
-0.116315	0.959
-0.0793417	0.9344
-0.0656001	0.905
0.00547631	0.8441
0.0510893	0.7655
0.012638	0.7057
0.0233241	0.6459
-0.0124658	0.6081
-0.0674619	0.6011
-0.0575457	0.5869
-0.0380079	0.5661
-0.0406127	0.5482
-0.0374142	0.5277
-0.00128756	0.4923
-0.0156458	0.4657
0.0154561	0.4234
-0.0545924	0.421
-0.139517	0.4682
-0.233562	0.5671
-0.186385	0.6286
-0.220096	0.7058
-0.164748	0.7464
-0.168767	0.7885
-0.131512	0.8043
-0.111336	0.8094
-0.0885176	0.8009
-0.0533765	0.7717
-0.0472786	0.7421
0.0171908	0.6849
0.0472516	0.6144
0.0136792	0.5622
0.0807951	0.4805
0.0282499	0.4243
0.0935814	0.3412
0.0583262	0.2871
0.11464	0.2107
0.0470091	0.1706
-0.0271849	0.1687
-0.0916033	0.2032
-0.144406	0.2593
-0.109199	0.2971
-0.139165	0.3487
-0.113648	0.3792
-0.125463	0.4171
-0.0965301	0.4365
-0.090071	0.4509
-0.0865238	0.4632
-0.0689847	0.4653
-0.0547311	0.4593
-0.0476734	0.4494
-0.0224543	0.4267
-0.0270883	0.4072
-0.0791118	0.4186
-0.11826	0.4477
-0.155204	0.4928
-0.117855	0.5169
-0.117959	0.5405
-0.0887556	0.5479
-0.0724866	0.5468
-0.0597346	0.5382
-0.0322714	0.5148
-0.0254975	0.4928
-0.0145465	0.4666
0.0197927	0.4205
0.0467379	0.368
0.00936377	0.3308
0.0211526	0.2935
0.064371	0.2369
0.0317937	0.1992
0.0627241	0.146
0.06422	0.0972
0.0315605	0.068
0.0536278	0.0306
0.0248097	0.0098
0.031432	-0.0144
-0.262277	0.1227
0.133781	0.0429
-0.0759366	0.0741
-0.102534	0.1139
-0.147245	0.1735
-0.0938538	0.2106
-0.135549	0.2583
-0.120131	0.2963
-0.0864103	0.3155
-0.073985	0.3291
-0.0720517	0.3401
-0.0539668	0.3415
-0.0379273	0.3349
-0.0305751	0.3252
-0.0112086	0.3038
-0.0104359	0.2856
0.0177145	0.2538
0.00692843	0.2303
0.0348876	0.1935
0.0156434	0.1683
0.0319576	0.1316
0.0205968	0.1081
0.0191353	0.0858
0.0367124	0.055
0.0344052	0.0278
0.0162784	0.0122
0.0242446	-0.0064
0.00694851	-0.0158
0.00485941	-0.0251
-0.00280507	-0.0284
-0.00734524	-0.0292
-0.0126294	-0.0273
-0.0212915	-0.0212
-0.0283216	-0.0117
-0.311371	0.1631
-1.00362	0.639
0.21442	0.4833
0.151801	0.3677
-0.0103851	0.3462
-0.176233	0.4059
-0.308059	0.5295
-0.231554	0.6133
-0.311805	0.7225
-0.221027	0.7832
-0.22371	0.8502
-0.162866	0.8785
-0.147528	0.8967
-0.109331	0.8933
-0.0645988	0.8667
-0.0569556	0.8357
-0.0316314	0.7959
0.0339251	0.7214
0.0203965	0.6632
0.0946194	0.5685
0.041971	0.5019
0.093824	0.4018
0.122199	0.3029
0.0784999	0.2392
0.137848	0.1511
0.0787773	0.0978
0.0989465	0.0291
0.0585848	-0.0091
0.0806388	-0.0544
0.0568983	-0.0858
0.0219824	-0.0988
0.0135787	-0.1068
-0.00366006	-0.1053
-0.0233925	-0.0942
-0.0426057	-0.074
-0.0359179	-0.0566
-0.0647814	-0.0268
-0.0503713	-0.005
-0.0693591	0.0284
-0.0780976	0.0617
-0.0566768	0.0831
-0.0817533	0.1122
-0.0593688	0.1296
-0.0666955	0.1512
-0.050867	0.1625
-0.0516205	0.1747
-0.0430732	0.1797
-0.0381843	0.1825
-0.0322229	0.1814
-0.0233623	0.1757
-0.0206016	0.1693
-0.0106819	0.1567
-0.0136071	0.1465
0.00211204	0.1294
-0.00318525	0.1169
0.0070313	0.0976
-0.000527465	0.0847
0.00636183	0.0658
0.0138039	0.0478
-0.00172635	0.0366
0.0113558	0.0218
-0.000462388	0.0133
0.0037445	0.0027
0.00170391	-0.0051
-0.00603967	-0.0087
-0.00681848	-0.0117
-0.010892	-0.0122
-0.0140749	-0.0109
-0.0183621	-0.0073
-0.0178402	-0.0039
-0.0250803	0.0024
-0.0226192	0.0074
-0.0272672	0.0153
-0.0240153	0.0208
-0.0314342	0.0292
-0.0253008	0.0347
-0.0301814	0.0425
-0.031712	0.0496
-0.027157	0.0538
-0.0289217	0.0592
-0.0269441	0.0632
-0.0241681	0.0651
-0.0237478	0.0669
-0.0215812	0.0673
-0.020284	0.0669
-0.0186147	0.0654
-0.017677	0.0638
-0.0158998	0.0607
-0.0159037	0.0583
-0.0122	0.0542
-0.0107778	0.0498
-0.0132805	0.0467
-0.00996534	0.0422
-0.0101003	0.0379
-0.0229867	0.0415
-0.11207	0.0969
-0.320306	0.2662
-0.504463	0.5269
-0.445571	0.7502
1.34803	-0.0674
0.0295497	-0.0867
0.0960572	-0.1455
0.176226	-0.2422
0.144362	-0.3097
0.147874	-0.3757
0.204668	-0.4694
0.147531	-0.5269
0.179966	-0.5998
0.130819	-0.6387
0.136716	-0.6797
0.0933325	-0.6951
0.0763769	-0.7009
0.052937	-0.6929
0.0226427	-0.6658
0.0207152	-0.638
-0.0452842	-0.5838
-0.0176663	-0.54
-0.0912671	-0.4668
-0.0634489	-0.4138
-0.0723741	-0.3594
-0.132195	-0.2756
-0.0869878	-0.2194
-0.129387	-0.1376
-0.133378	-0.064
-0.0826816	-0.0198
-0.114826	0.038
-0.108311	0.0859
-0.0698427	0.1118
-0.0803182	0.142
-0.0948889	0.184
-0.111952	0.2304
-0.205114	0.326
-0.15446	0.3829
-0.170412	0.4519
-0.149006	0.5006
-0.108286	0.5215
-0.0958936	0.5354
-0.0652836	0.53
-0.0492153	0.5164
-0.0203632	0.4832
-0.0217194	0.4534
0.0324632	0.3998
0.0178656	0.359
0.0635848	0.2939
0.0368509	0.2487
0.0840822	0.1816
0.0485171	0.1379
0.0358949	0.0965
-0.0486345	0.1096
-0.136313	0.1693
-0.149874	0.2323
-0.102721	0.272
-0.133328	0.3237
-0.104393	0.3531
-0.117542	0.3879
-0.098841	0.4114
-0.0752685	0.4203
-0.0670428	0.4233
-0.0540959	0.419
-0.0351554	0.4036
-0.0308225	0.3878
-0.00052004	0.3574
-0.0097113	0.3331
0.0251733	0.2926
0.0251021	0.2483
0.0117507	0.2191
-0.062437	0.2316
-0.136236	0.2946
-0.203216	0.3865
-0.162736	0.4436
-0.198222	0.5164
-0.138113	0.5556
-0.151889	0.5982
-0.127365	0.6219
-0.112675	0.6363
-0.39163	0.8018
-0.370146	0.9434
-0.479068	1.1263
-0.335269	1.2248
-0.357303	1.3293
-0.238858	1.3708
-0.205233	1.391
-0.1223	1.3641
-0.090267	1.3223
-0.00922363	1.2294
0.0497134	1.1052
-0.00226123	1.0322
-0.248067	1.0937
-0.27116	1.1641
-0.310523	1.2476
-0.244869	1.2986
-0.190274	1.3121
-0.146202	1.3025
-0.111037	1.2774
-0.207316	1.3035
-0.669303	1.5694
-0.55901	1.7579
-0.693609	1.998
-0.485119	2.1234
-0.526116	2.2507
-0.358266	2.2952
-0.290048	2.3002
-0.217972	2.2643
-0.0740024	2.1586
-0.0963398	2.0567
0.0704588	1.8947
-0.17007	1.8593
-0.264689	1.8763
-0.237483	1.8788
-0.202072	1.8625
-0.113031	1.8046
-0.0280748	1.7095
-0.0653518	1.6283
0.0840042	1.4874
0.031065	1.3819
-0.0461147	1.3081
-0.270968	1.3591
-0.231273	1.3918
-0.224228	1.4212
-0.189196	1.4257
-0.151567	1.4094
-0.105352	1.366
-0.0913538	1.3229
-0.0747549	1.2699
0.0347014	1.1735
0.0800556	1.0589
0.0306669	0.9819
-0.165496	0.9968
-0.27663	1.0661
-0.365674	1.1589
-0.302743	1.2281
-0.238331	1.2631
-0.168772	1.2656
-0.10982	1.2409
-0.0945288	1.2069
-0.0214799	1.1336
-0.0160991	1.0713
0.0589533	0.963
0.123727	0.8464
0.00984897	0.7828
0.0687569	0.696
0.0170976	0.638
0.072234	0.5522
0.0839459	0.4683
0.029841	0.4147
0.0873482	0.3406
0.0393724	0.2951
0.0583193	0.2349
0.0292729	0.2001
0.0521664	0.1559
0.0161569	0.1317
-0.220645	0.2272
-0.169592	0.2842
-0.195365	0.3623
-0.285652	0.4718
-0.19869	0.5379
-0.234041	0.6189
-0.2244	0.6776
-0.159175	0.7034
-0.134177	0.7199
-0.095227	0.7168
-0.0541674	0.693
-0.0394745	0.6654
0.0279132	0.6097
0.00843858	0.5643
0.0817666	0.4887
0.107892	0.4064
0.0401323	0.3504
0.110367	0.2696
0.0590565	0.2179
0.107288	0.1466
0.0618287	0.1037
0.0894349	0.0484
0.056709	0.0042
0.0288236	-0.0186
0.0332076	-0.0429
0.0079792	-0.053
0.00148578	-0.0598
-0.0140305	-0.0591
-0.0268336	-0.0515
-0.0325731	-0.0428
-0.052866	-0.0257
-0.0425572	-0.0122
-0.0629429	0.0092
-0.0515015	0.0238
-0.059726	0.045
0.184033	-0.0594
0.10684	-0.121
-0.0485468	-0.1004
-0.501129	0.14
-0.105193	0.1718
-0.103358	0.2024
-0.066342	0.2152
-0.0485269	0.2174
-0.0333509	0.212
-0.0259571	0.2033
-0.00103113	0.1837
